基金代码,基金简称,基金类型,成立时间,最新规模,评级机构,基金评级
000001,华夏成长混合,混合型-灵活,2001-12-18,25.79亿,,暂无评级
000002,华夏成长混合(后端),混合型-灵活,,,,
000003,中海可转债债券A,债券型-混合二级,2013-03-20,6996.64万,,暂无评级
000004,中海可转债债券C,债券型-混合二级,2013-03-20,3540.04万,,暂无评级
000005,嘉实增强信用定期债券,债券型-混合一级,2013-03-08,2.75亿,,暂无评级
000006,西部利得量化成长混合A,混合型-偏股,2019-03-19,8.13亿,,暂无评级
000008,嘉实中证500ETF联接A,指数型-股票,2013-03-22,19.99亿,,暂无评级
000009,易方达天天理财货币A,货币型-普通货币,2013-03-04,82.85亿,,暂无评级
000010,易方达天天理财货币B,货币型-普通货币,2013-03-04,3.72亿,,暂无评级
000011,华夏大盘精选混合A,混合型-灵活,2004-08-11,36.24亿,,暂无评级
000012,华夏大盘精选混合A(后端),混合型-灵活,,,,
000013,易方达天天理财货币R,货币型-普通货币,,,,
000014,华夏聚利债券A,债券型-混合一级,2013-03-19,5.57亿,,暂无评级
000015,华夏纯债债券A,债券型-长债,2013-03-08,68.02亿,,暂无评级
000016,华夏纯债债券C,债券型-长债,2013-03-08,20.07亿,,暂无评级
000017,财通可持续混合,混合型-偏股,2013-03-27,1.05亿,,暂无评级
000020,景顺长城品质投资混合A,混合型-偏股,2013-03-19,4.22亿,,暂无评级
000021,华夏优势增长混合,混合型-偏股,2006-11-24,46.64亿,,暂无评级
000024,大摩双利增强债券A,债券型-混合一级,2013-03-26,3.53亿,,暂无评级
000025,大摩双利增强债券C,债券型-混合一级,2013-03-26,4.36亿,,暂无评级
000028,华富安鑫债券,债券型-混合二级,2013-04-24,3740.05万,,暂无评级
000029,富国宏观策略灵活配置混合A,混合型-灵活,2013-04-12,1.97亿,,暂无评级
000030,长城核心优选混合A,混合型-灵活,2013-04-18,1.10亿,,暂无评级
000031,华夏复兴混合A,混合型-偏股,2007-09-10,16.46亿,,暂无评级
000032,易方达信用债债券A,债券型-长债,2013-04-24,100.81亿,,暂无评级
000033,易方达信用债债券C,债券型-长债,2013-04-24,59.19亿,,暂无评级
000037,广发景宁债券A,债券型-长债,2013-06-20,123.48亿,,暂无评级
000039,农银高增长混合,混合型-偏股,2013-03-26,2.47亿,,暂无评级
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,2007-10-09,21.53亿,,暂无评级
000042,财通中证ESG100指数增强A,指数型-股票,2013-03-22,7131.92万,,暂无评级
000043,嘉实美国成长股票人民币,QDII-普通股票,2013-06-14,39.80亿,,暂无评级
000044,嘉实美国成长股票美元现汇,QDII-普通股票,2013-06-14,1.20亿,,暂无评级
000045,工银产业债债券A,债券型-混合二级,2013-03-29,41.18亿,,暂无评级
000046,工银产业债债券B,债券型-混合二级,2013-03-29,1.50亿,,暂无评级
000047,华夏双债债券A,债券型-混合一级,2013-03-14,3.21亿,,暂无评级
000048,华夏双债债券C,债券型-混合一级,2013-03-14,1.22亿,,暂无评级
000051,华夏沪深300ETF联接A,指数型-股票,2009-07-10,109.29亿,,暂无评级
000053,鹏华永诚一年定开债券,债券型-长债,2013-05-03,10.05亿,,暂无评级
000054,鹏华双债增利债券A,债券型-混合二级,2013-03-13,10.74亿,,暂无评级
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,2015-01-16,76.74亿,,暂无评级
000056,建信消费升级混合,混合型-灵活,2013-06-14,5309.13万,,暂无评级
000057,中银消费主题混合A,混合型-偏股,2013-04-25,4931.68万,,暂无评级
000058,国联安安泰灵活配置混合,混合型-灵活,2013-04-23,3.77亿,,暂无评级
000059,国联安中证医药100A,指数型-股票,2013-08-21,1.82亿,,暂无评级
000061,华夏盛世混合,混合型-偏股,2009-12-11,10.13亿,,暂无评级
000063,长盛电子信息主题灵活配置混合,混合型-灵活,2013-05-10,2.58亿,,暂无评级
000064,大摩18个月定开债C,债券型-长债,2013-06-25,2.04亿,,暂无评级
000065,国富焦点驱动混合A,混合型-灵活,2013-05-07,6174.87万,,暂无评级
000066,诺安鸿鑫混合A,混合型-偏股,2013-05-03,4429.62万,,暂无评级
000067,民生加银转债优选A,债券型-混合二级,2013-04-18,7088.63万,,暂无评级
000068,民生加银转债优选C,债券型-混合二级,2013-04-18,9760.39万,,暂无评级
000069,国投瑞银中高等级债券A,债券型-混合一级,2013-05-14,8.86亿,,暂无评级
000070,国投瑞银中高等级债券C,债券型-混合一级,2013-05-14,1.01亿,,暂无评级
000071,华夏恒生ETF联接A,指数型-海外股票,2012-08-21,60.05亿,,暂无评级
000072,华安稳健回报混合A,混合型-灵活,2013-05-14,1.11亿,,暂无评级
000073,摩根成长动力混合A,混合型-灵活,2013-05-15,2.09亿,,暂无评级
000074,工银信用纯债一年定开债A,债券型-长债,2013-05-22,8.90亿,,暂无评级
000075,华夏恒生ETF联接现汇,指数型-海外股票,2012-08-21,60.05亿,,暂无评级
000076,华夏恒生ETF联接现钞,指数型-海外股票,2012-08-21,60.05亿,,暂无评级
