基金代码,基金简称,基金类型,成立时间,最新规模,评级机构,基金评级
1,华夏成长混合,混合型-灵活,2001-12-18,25.79,,暂无评级
2,华夏成长混合(后端),混合型-灵活,,,,
3,中海可转债债券A,债券型-混合二级,2013-03-20,0.6996640000000001,,暂无评级
4,中海可转债债券C,债券型-混合二级,2013-03-20,0.354004,,暂无评级
5,嘉实增强信用定期债券,债券型-混合一级,2013-03-08,2.75,,暂无评级
6,西部利得量化成长混合A,混合型-偏股,2019-03-19,8.13,,暂无评级
8,嘉实中证500ETF联接A,指数型-股票,2013-03-22,19.99,,暂无评级
9,易方达天天理财货币A,货币型-普通货币,2013-03-04,82.85,,暂无评级
10,易方达天天理财货币B,货币型-普通货币,2013-03-04,3.72,,暂无评级
11,华夏大盘精选混合A,混合型-灵活,2004-08-11,36.24,,暂无评级
12,华夏大盘精选混合A(后端),混合型-灵活,,,,
13,易方达天天理财货币R,货币型-普通货币,,,,
14,华夏聚利债券A,债券型-混合一级,2013-03-19,5.57,,暂无评级
15,华夏纯债债券A,债券型-长债,2013-03-08,68.02,,暂无评级
16,华夏纯债债券C,债券型-长债,2013-03-08,20.07,,暂无评级
17,财通可持续混合,混合型-偏股,2013-03-27,1.05,,暂无评级
20,景顺长城品质投资混合A,混合型-偏股,2013-03-19,4.22,,暂无评级
21,华夏优势增长混合,混合型-偏股,2006-11-24,46.64,,暂无评级
24,大摩双利增强债券A,债券型-混合一级,2013-03-26,3.53,,暂无评级
25,大摩双利增强债券C,债券型-混合一级,2013-03-26,4.36,,暂无评级
28,华富安鑫债券,债券型-混合二级,2013-04-24,0.37400500000000003,,暂无评级
29,富国宏观策略灵活配置混合A,混合型-灵活,2013-04-12,1.97,,暂无评级
30,长城核心优选混合A,混合型-灵活,2013-04-18,1.1,,暂无评级
31,华夏复兴混合A,混合型-偏股,2007-09-10,16.46,,暂无评级
32,易方达信用债债券A,债券型-长债,2013-04-24,100.81,,暂无评级
33,易方达信用债债券C,债券型-长债,2013-04-24,59.19,,暂无评级
37,广发景宁债券A,债券型-长债,2013-06-20,123.48,,暂无评级
39,农银高增长混合,混合型-偏股,2013-03-26,2.47,,暂无评级
41,华夏全球股票(QDII)(人民币),QDII-普通股票,2007-10-09,21.53,,暂无评级
42,财通中证ESG100指数增强A,指数型-股票,2013-03-22,0.713192,,暂无评级
