基金代码,基金简称,基金类型,成立时间,最新规模,股票,债券,现金,其他
000001,华夏成长混合,混合型-灵活,2001-12-18,25.79,74.5,20.53,7.18,0.08
000002,华夏成长混合(后端),混合型-灵活,,,,,,
000003,中海可转债债券A,债券型-混合二级,2013-03-20,0.6996640000000001,8.94,95.86,8.01,0.24
000004,中海可转债债券C,债券型-混合二级,2013-03-20,0.354004,8.94,95.86,8.01,0.24
000005,嘉实增强信用定期债券,债券型-混合一级,2013-03-08,2.75,0,108.36,0.88,0.0
000006,西部利得量化成长混合A,混合型-偏股,2019-03-19,8.13,92.63,0,7.17,0.83
000008,嘉实中证500ETF联接A,指数型-股票,2013-03-22,19.99,2.84,0,7.72,92.2
000009,易方达天天理财货币A,货币型-普通货币,2013-03-04,82.85,0,41.48,45.22,41.14
000010,易方达天天理财货币B,货币型-普通货币,2013-03-04,3.72,0,41.48,45.22,41.14
000011,华夏大盘精选混合A,混合型-灵活,2004-08-11,36.24,87.87,1.23,11.0,0.49
000012,华夏大盘精选混合A(后端),混合型-灵活,,,,,,
000013,易方达天天理财货币R,货币型-普通货币,,,0,41.48,45.22,41.14
000014,华夏聚利债券A,债券型-混合一级,2013-03-19,5.57,7.37,93.29,3.99,18.59
000015,华夏纯债债券A,债券型-长债,2013-03-08,68.02,0,121.14,2.4,0.58
000016,华夏纯债债券C,债券型-长债,2013-03-08,20.07,0,121.14,2.4,0.58
000017,财通可持续混合,混合型-偏股,2013-03-27,1.05,87.21,0,8.95,4.68
000020,景顺长城品质投资混合A,混合型-偏股,2013-03-19,4.22,82.67,0,15.01,2.65
000021,华夏优势增长混合,混合型-偏股,2006-11-24,46.64,89.29,0.87,9.96,0.64
000024,大摩双利增强债券A,债券型-混合一级,2013-03-26,3.53,0,106.41,12.94,0.06
000025,大摩双利增强债券C,债券型-混合一级,2013-03-26,4.36,0,106.41,12.94,0.06
000028,华富安鑫债券,债券型-混合二级,2013-04-24,0.374005,21.11,101.16,2.39,0.13
000029,富国宏观策略灵活配置混合A,混合型-灵活,2013-04-12,1.97,82.44,12.59,2.69,5.75
000030,长城核心优选混合A,混合型-灵活,2013-04-18,1.1,90.24,4.6,7.14,0.12
000031,华夏复兴混合A,混合型-偏股,2007-09-10,16.46,91.18,4.88,3.22,1.23
000032,易方达信用债债券A,债券型-长债,2013-04-24,100.81,0,107.89,0.52,5.63
000033,易方达信用债债券C,债券型-长债,2013-04-24,59.19,0,107.89,0.52,5.63
000037,广发景宁债券A,债券型-长债,2013-06-20,123.48,0,120.92,0.06,1.18
000039,农银高增长混合,混合型-偏股,2013-03-26,2.47,83.42,2.88,6.56,7.94
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,2007-10-09,21.53,81.36,0,9.12,10.8
000042,财通中证ESG100指数增强A,指数型-股票,2013-03-22,0.713192,94.11,0,6.44,0.65
000043,嘉实美国成长股票人民币,QDII-普通股票,2013-06-14,39.8,92.17,0,7.07,4.32
000044,嘉实美国成长股票美元现汇,QDII-普通股票,2013-06-14,1.2,92.17,0,7.07,4.32
000045,工银产业债债券A,债券型-混合二级,2013-03-29,41.18,17.46,104.26,1.67,3.8
000046,工银产业债债券B,债券型-混合二级,2013-03-29,1.5,17.46,104.26,1.67,3.8
000047,华夏双债债券A,债券型-混合一级,2013-03-14,3.21,0,110.93,5.91,0.04
000048,华夏双债债券C,债券型-混合一级,2013-03-14,1.22,0,110.93,5.91,0.04
000051,华夏沪深300ETF联接A,指数型-股票,2009-07-10,109.29,1.61,2.64,3.35,93.88
000053,鹏华永诚一年定开债券,债券型-长债,2013-05-03,10.05,0,106.36,0.67,12.95
000054,鹏华双债增利债券A,债券型-混合二级,2013-03-13,10.74,20.27,96.06,10.49,4.63
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,2015-01-16,76.74,0,0,7.22,95.75
000056,建信消费升级混合,混合型-灵活,2013-06-14,0.530913,88.79,0,14.08,0.07
000057,中银消费主题混合A,混合型-偏股,2013-04-25,0.493168,89.79,7.5,2.38,3.97
000058,国联安安泰灵活配置混合,混合型-灵活,2013-04-23,3.77,33.33,56.47,26.45,3.8
000059,国联安中证医药100A,指数型-股票,2013-08-21,1.82,94.96,0,6.11,0.48
000061,华夏盛世混合,混合型-偏股,2009-12-11,10.13,92.77,1.98,7.35,0.07
000063,长盛电子信息主题灵活配置混合,混合型-灵活,2013-05-10,2.58,67.62,0,34.46,0.17
000064,大摩18个月定开债C,债券型-长债,2013-06-25,2.04,0,168.81,4.89,0.02
000065,国富焦点驱动混合A,混合型-灵活,2013-05-07,0.617487,8.86,84.26,6.07,1.81
000066,诺安鸿鑫混合A,混合型-偏股,2013-05-03,0.4429619999999999,93.98,0,12.54,0.2
000067,民生加银转债优选A,债券型-混合二级,2013-04-18,0.708863,19.95,111.02,2.1,7.54
000068,民生加银转债优选C,债券型-混合二级,2013-04-18,0.976039,19.95,111.02,2.1,7.54
000069,国投瑞银中高等级债券A,债券型-混合一级,2013-05-14,8.86,0,118.43,5.27,0.53
000070,国投瑞银中高等级债券C,债券型-混合一级,2013-05-14,1.01,0,118.43,5.27,0.53
000071,华夏恒生ETF联接A,指数型-海外股票,2012-08-21,60.05,0,0,7.62,93.72
000072,华安稳健回报混合A,混合型-灵活,2013-05-14,1.11,12.9,93.08,0.58,0.01
000073,摩根成长动力混合A,混合型-灵活,2013-05-15,2.09,87.72,0,12.74,0.6
000074,工银信用纯债一年定开债A,债券型-长债,2013-05-22,8.9,0,116.78,5.11,10.55
000075,华夏恒生ETF联接现汇,指数型-海外股票,2012-08-21,60.05,0,0,7.62,93.72
000076,华夏恒生ETF联接现钞,指数型-海外股票,2012-08-21,60.05,0,0,7.62,93.72
000077,工银信用纯债一年定开债C,债券型-长债,2013-05-22,0.4099649999999999,0,116.78,5.11,10.55
000078,工银信用纯债三个月定开债A,债券型-长债,2013-06-24,26.07,0,121.3,0.52,19.09
000079,工银信用纯债三个月定开债C,债券型-长债,2013-06-24,0.0879809999999999,0,121.3,0.52,19.09
000080,天治可转债增强债券A,债券型-混合二级,2013-06-04,0.163395,0,131.36,3.7,0.02
000081,天治可转债增强债券C,债券型-混合二级,2013-06-04,0.422295,0,131.36,3.7,0.02
000082,嘉实研究阿尔法股票A,股票型,2013-05-28,6.45,91.24,0,8.75,0.3
000083,汇添富消费行业混合,混合型-偏股,2013-05-03,133.78,87.02,2.65,8.6,2.49
000084,博时安盈债券A,债券型-中短债,2013-04-23,33.95,0,111.68,0.12,10.18
000085,博时安盈债券C,债券型-中短债,2013-04-23,16.19,0,111.68,0.12,10.18
000086,南方稳利1年持有期债券A,债券型-长债,2013-07-23,15.69,0,131.77,1.09,0.07
000089,民生加银高等级信用债C,债券型-中短债,2013-04-25,6.09,0,137.03,0.4,0.01
000090,民生加银高等级信用债A,债券型-中短债,2013-04-25,3.22,0,137.03,0.4,0.01
000103,国泰中国企业境外高收益债,QDII-纯债,2013-04-26,1.02,0,91.66,7.43,1.99
000104,华宸未来稳健添利债券A,债券型-混合一级,2013-08-20,0.984829,0,89.4,3.39,11.33
000105,建信安心回报债券A,债券型-长债,2013-05-14,19.82,0,98.11,1.52,0.42
000106,建信安心回报债券C,债券型-长债,2013-05-14,0.15098,0,98.11,1.52,0.42
000107,富国稳健增强债券A/B,债券型-混合二级,2013-05-21,42.21,14.58,93.38,0.78,1.2
000108,富国稳健增强债券A/B(后端),债券型-混合二级,,,,,,
000109,富国稳健增强债券C,债券型-混合二级,2013-05-21,8.61,14.58,93.38,0.78,1.2
000110,金鹰元安混合A,混合型-偏债,2013-05-20,0.150918,21.06,75.32,4.24,3.63
000111,易方达纯债1年定开债A,债券型-长债,2013-07-30,19.35,0,132.42,1.89,11.62
000112,易方达纯债1年定开债C,债券型-长债,2013-07-30,0.077774,0,132.42,1.89,11.62
000116,嘉实丰益纯债定期债券A,债券型-长债,2013-05-21,10.09,0,124.38,0.16,0.0
000117,广发轮动配置混合,混合型-偏股,2013-05-28,2.93,91.81,0,6.69,1.69
000118,广发聚鑫债券A,债券型-混合二级,2013-06-05,69.94,21.25,99.89,0.69,4.67
000119,广发聚鑫债券C,债券型-混合二级,2013-06-05,6.97,21.25,99.89,0.69,4.67
000120,中银美丽中国混合,混合型-偏股,2013-06-07,0.380236,88.52,4.77,23.0,0.99
000121,华夏永福混合A,混合型-偏债,2013-08-13,9.28,29.51,80.94,1.24,7.06
000122,汇添富实业债债券A,债券型-混合一级,2013-06-14,22.82,0,107.85,2.66,1.7
000123,汇添富实业债债券C,债券型-混合一级,2013-06-14,1.27,0,107.85,2.66,1.7
000124,华宝服务优选混合,混合型-偏股,2013-06-27,5.98,91.11,0,10.79,0.91
000126,招商安润灵活配置混合A,混合型-灵活,2013-04-19,4.09,90.13,0,6.39,4.06
000127,农银行业领先混合,混合型-偏股,2013-06-25,8.34,65.86,2.34,3.17,29.0
000128,大成景安短融债券A,债券型-中短债,2013-05-24,5.07,0,88.82,0.44,10.79
000129,大成景安短融债券B,债券型-中短债,2013-05-24,9.03,0,88.82,0.44,10.79
000130,大成景兴信用债债券A,债券型-混合一级,2013-06-04,0.890337,0,68.89,6.65,26.71
000131,大成景兴信用债债券C,债券型-混合一级,2013-06-04,0.694661,0,68.89,6.65,26.71
000134,中信保诚嘉鸿债券A,债券型-长债,2017-05-25,77.8,0,94.95,0,5.07
000135,中信保诚嘉鸿债券C,债券型-长债,2017-05-25,0.0,0,94.95,0,5.07
000136,民生加银策略精选混合A,混合型-灵活,2013-06-07,15.41,73.96,5.34,18.46,3.31
000137,民生加银岁岁增利债券A,债券型-长债,2013-08-01,12.71,0,99.34,0.71,0
000138,民生加银岁岁增利债券C,债券型-长债,2013-08-01,0.083128,0,99.34,0.71,0
000139,富国国有企业债债券A/B,债券型-长债,2013-09-25,8.38,0,111.0,0.56,0.43
000140,富国国有企业债债券A/B(后端),债券型-长债,,,,,,
000141,富国国有企业债债券C,债券型-长债,2013-09-25,123.94,0,111.0,0.56,0.43
000142,融通增强收益债券A,债券型-混合二级,2013-05-30,42.38,14.79,107.83,0.59,6.56
000143,鹏华双债加利债券A,债券型-混合二级,2013-05-27,22.17,20.91,97.39,3.22,5.12
000147,易方达高等级信用债债券A,债券型-长债,2013-08-23,15.8,0,93.53,0.11,7.93
000148,易方达高等级信用债债券C,债券型-长债,2013-08-23,8.82,0,93.53,0.11,7.93
000149,华安双债添利债券A,债券型-混合一级,2013-06-14,0.414001,0,93.67,0.14,6.55
000150,华安双债添利债券C,债券型-混合一级,2013-06-14,0.313869,0,93.67,0.14,6.55
000152,大成景旭纯债债券A,债券型-长债,2013-07-23,0.1100319999999999,0,115.16,1.18,0.0
000153,大成景旭纯债债券C,债券型-长债,2013-07-23,0.085982,0,115.16,1.18,0.0
000154,富国沪深300指数增强A(后端),指数型-股票,,,,,,
000155,富国通胀通缩主题轮动混合A(后端),混合型-偏股,,,,,,
000157,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票,,,,,,
000158,富国低碳环保混合(后端),混合型-偏股,,,,,,
000159,富国高新技术产业混合(后端),混合型-偏股,,,,,,
000160,富国强回报定开债A/B(后端),债券型-长债,,,,,,
000161,富国宏观策略灵活配置混合A(后端),混合型-灵活,,,,,,
000162,富国中国中小盘混合(QDII)人民币(后端),QDII-混合偏股,,,,,,
000164,富国上证指数ETF联接A(后端),指数型-股票,,,,,,
000165,国投瑞银策略精选混合,混合型-灵活,2013-09-27,9.62,86.24,5.21,10.33,2.99
000166,中海信息产业混合A,混合型-偏股,2013-07-31,0.5810270000000001,92.62,0,9.38,0.38
000167,广发聚优灵活配置混合A,混合型-灵活,2013-09-11,2.64,92.9,0.5,6.48,0.45
000171,易方达裕丰回报债券A,债券型-混合二级,2013-08-23,178.65,17.04,115.31,0.86,2.83
000172,华泰柏瑞量化增强混合A,混合型-偏股,2013-08-02,18.59,87.43,0,7.43,5.38
000173,汇添富美丽30混合A,混合型-偏股,2013-06-25,12.56,87.83,0,9.37,4.24
000174,汇添富高息债债券A,债券型-混合一级,2013-06-27,2.1,0,130.76,20.55,0.01
000175,汇添富高息债债券C,债券型-混合一级,2013-06-27,1.41,0,130.76,20.55,0.01
000176,嘉实沪深300指数研究增强A,指数型-股票,2014-12-26,15.54,93.01,0.02,7.16,0.57
000179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,2013-08-09,1.43,0,0,9.8,94.06
000180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,2013-08-09,1.43,0,0,9.8,94.06
000181,景顺长城四季金利债券A,债券型-混合二级,2013-07-30,25.88,0,119.24,1.01,6.35
000182,景顺长城四季金利债券C,债券型-混合二级,2013-07-30,1.15,0,119.24,1.01,6.35
000183,嘉实丰益策略定期债券,债券型-混合一级,2013-07-30,15.21,0,115.1,0.07,1.21
000184,工银添福债券A,债券型-混合二级,2013-10-31,0.411625,15.78,109.33,4.06,3.2
