基金代码,基金简称,基金类型,成立时间,最新规模,股票,债券,现金,其他
1,华夏成长混合,混合型-灵活,2001-12-18 00:00:00,25.79,74.5,20.53,7.18,0.08
3,中海可转债债券A,债券型-混合二级,2013-03-20 00:00:00,0.6996640000000001,8.94,95.86,8.01,0.24
4,中海可转债债券C,债券型-混合二级,2013-03-20 00:00:00,0.354004,8.94,95.86,8.01,0.24
5,嘉实增强信用定期债券,债券型-混合一级,2013-03-08 00:00:00,2.75,0.0,108.36,0.88,0.0
6,西部利得量化成长混合A,混合型-偏股,2019-03-19 00:00:00,8.13,92.63,0.0,7.17,0.83
8,嘉实中证500ETF联接A,指数型-股票,2013-03-22 00:00:00,19.99,2.84,0.0,7.72,92.2
9,易方达天天理财货币A,货币型-普通货币,2013-03-04 00:00:00,82.85,0.0,41.48,45.22,41.14
10,易方达天天理财货币B,货币型-普通货币,2013-03-04 00:00:00,3.72,0.0,41.48,45.22,41.14
11,华夏大盘精选混合A,混合型-灵活,2004-08-11 00:00:00,36.24,87.87,1.23,11.0,0.49
13,易方达天天理财货币R,货币型-普通货币,,,0.0,41.48,45.22,41.14
14,华夏聚利债券A,债券型-混合一级,2013-03-19 00:00:00,5.57,7.37,93.29,3.99,18.59
15,华夏纯债债券A,债券型-长债,2013-03-08 00:00:00,68.02,0.0,121.14,2.4,0.58
16,华夏纯债债券C,债券型-长债,2013-03-08 00:00:00,20.07,0.0,121.14,2.4,0.58
17,财通可持续混合,混合型-偏股,2013-03-27 00:00:00,1.05,87.21,0.0,8.95,4.68
20,景顺长城品质投资混合A,混合型-偏股,2013-03-19 00:00:00,4.22,82.67,0.0,15.01,2.65
21,华夏优势增长混合,混合型-偏股,2006-11-24 00:00:00,46.64,89.29,0.87,9.96,0.64
24,大摩双利增强债券A,债券型-混合一级,2013-03-26 00:00:00,3.53,0.0,106.41,12.94,0.06
25,大摩双利增强债券C,债券型-混合一级,2013-03-26 00:00:00,4.36,0.0,106.41,12.94,0.06
28,华富安鑫债券,债券型-混合二级,2013-04-24 00:00:00,0.374005,21.11,101.16,2.39,0.13
29,富国宏观策略灵活配置混合A,混合型-灵活,2013-04-12 00:00:00,1.97,82.44,12.59,2.69,5.75
30,长城核心优选混合A,混合型-灵活,2013-04-18 00:00:00,1.1,90.24,4.6,7.14,0.12
31,华夏复兴混合A,混合型-偏股,2007-09-10 00:00:00,16.46,91.18,4.88,3.22,1.23
