基金代码,基金简称,基金类型,成立时间,最新规模,股票,债券,现金,其他
3,中海可转债债券A,债券型-混合二级,2013-03-20,0.6996640000000001,8.94,95.86,8.01,0.24
4,中海可转债债券C,债券型-混合二级,2013-03-20,0.354004,8.94,95.86,8.01,0.24
5,嘉实增强信用定期债券,债券型-混合一级,2013-03-08,2.75,0.0,108.36,0.88,0.0
8,嘉实中证500ETF联接A,指数型-股票,2013-03-22,19.99,2.84,0.0,7.72,92.2
14,华夏聚利债券A,债券型-混合一级,2013-03-19,5.57,7.37,93.29,3.99,18.59
24,大摩双利增强债券A,债券型-混合一级,2013-03-26,3.53,0.0,106.41,12.94,0.06
25,大摩双利增强债券C,债券型-混合一级,2013-03-26,4.36,0.0,106.41,12.94,0.06
28,华富安鑫债券,债券型-混合二级,2013-04-24,0.374005,21.11,101.16,2.39,0.13
45,工银产业债债券A,债券型-混合二级,2013-03-29,41.18,17.46,104.26,1.67,3.8
46,工银产业债债券B,债券型-混合二级,2013-03-29,1.5,17.46,104.26,1.67,3.8
47,华夏双债债券A,债券型-混合一级,2013-03-14,3.21,0.0,110.93,5.91,0.04
48,华夏双债债券C,债券型-混合一级,2013-03-14,1.22,0.0,110.93,5.91,0.04
51,华夏沪深300ETF联接A,指数型-股票,2009-07-10,109.29,1.61,2.64,3.35,93.88
54,鹏华双债增利债券A,债券型-混合二级,2013-03-13,10.74,20.27,96.06,10.49,4.63
55,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,2015-01-16,76.74,0.0,0.0,7.22,95.75
65,国富焦点驱动混合A,混合型-灵活,2013-05-07,0.617487,8.86,84.26,6.07,1.81
67,民生加银转债优选A,债券型-混合二级,2013-04-18,0.708863,19.95,111.02,2.1,7.54
68,民生加银转债优选C,债券型-混合二级,2013-04-18,0.976039,19.95,111.02,2.1,7.54
69,国投瑞银中高等级债券A,债券型-混合一级,2013-05-14,8.86,0.0,118.43,5.27,0.53
70,国投瑞银中高等级债券C,债券型-混合一级,2013-05-14,1.01,0.0,118.43,5.27,0.53
71,华夏恒生ETF联接A,指数型-海外股票,2012-08-21,60.05,0.0,0.0,7.62,93.72
72,华安稳健回报混合A,混合型-灵活,2013-05-14,1.11,12.9,93.08,0.58,0.01
75,华夏恒生ETF联接现汇,指数型-海外股票,2012-08-21,60.05,0.0,0.0,7.62,93.72
76,华夏恒生ETF联接现钞,指数型-海外股票,2012-08-21,60.05,0.0,0.0,7.62,93.72
80,天治可转债增强债券A,债券型-混合二级,2013-06-04,0.163395,0.0,131.36,3.7,0.02
81,天治可转债增强债券C,债券型-混合二级,2013-06-04,0.422295,0.0,131.36,3.7,0.02
84,博时安盈债券A,债券型-中短债,2013-04-23,33.95,0.0,111.68,0.12,10.18
